759,2
511,1
133,1
147,1
14,1
629,1
15,1
216,1
417,1
665,2
650,2
16,1
978,2
539,1
479,1
158,1
579,1
101,1
880,2
693,2
617,3
386,1
796,2
169,1
9,1
801,3
802,3
473,1
846,2
424,1
813,3
912,3
542,1
639,2
609,2
447,2
271,1
225,1
635,1
34,1
695,3
384,1
224,1
622,2
116,1
477,1
392,1
448,1
291,1
363,1
633,2
310,1
586,2
243,1
931,2
153,1
743,3
349,1
307,1
17,1
267,1
994,3
957,3
235,1
132,1
7,1
720,2
795,2
380,1
3,1
71,1
274,1
747,1
554,2
480,2
754,2
250,1
558,1
387,1
508,2
337,1
357,1
27,1
569,2
0,1
820,2
654,1
653,2
345,1
872,3
702,1
507,2
783,2
409,1
45,1
777,2
753,3
858,3
197,1
867,2
74,1
648,1
416,1
40,1
372,1
38,1
668,1
923,2
928,2
634,2
632,2
232,1
445,2
863,2
52,1
56,1
123,1
463,1
50,1
173,1
4,1
887,2
82,1
222,1
205,1
214,1
729,2
980,3
537,2
706,2
881,3
1,1
674,2
627,2
427,1
583,2
735,2
825,2
973,2
390,1
945,3
226,1
318,1
806,2
406,1
434,1
703,2
336,1
527,2
577,1
899,1
742,1
72,1
882,3
983,2
886,3
167,1
581,1
258,1
239,1
215,1
466,1
993,3
43,1
408,1
892,3
909,3
333,1
89,1
850,2
423,2
461,2
176,1
717,2
616,1
646,1
415,1
187,1
823,2
359,1
977,2
20,1
231,1
663,2
910,3
714,2
229,1
572,2
161,1
926,2
521,2
728,3
779,2
548,1
757,2
642,2
433,2
294,1
481,1
597,2
525,1
393,1
839,3
429,1
440,1
414,2
177,1
127,1
590,1
761,3
6,1
281,1
625,2
896,2
118,1
769,2
277,1
692,2
956,3
538,2
518,1
273,1
394,1
343,1
366,1
66,1
904,2
334,1
460,1
519,2
967,2
54,1
965,2
451,1
399,1
191,1
125,1
500,2
876,2
131,1
913,1
529,2
556,3
843,2
388,1
690,2
996,3
252,2
969,3
290,1
906,3
136,1
246,1
348,1
47,1
822,2
699,2
778,2
830,2
849,2
774,3
368,1
567,1
174,1
748,2
631,1
793,3
647,1
768,2
221,1
75,1
400,1
240,1
374,1
696,2
807,2
932,2
952,3
877,2
576,2
503,1
911,2
681,3
29,1
701,2
787,1
935,2
261,1
645,2
543,2
501,2
564,2
942,3
509,2
528,2
555,2
755,3
917,2
486,1
201,1
677,2
275,1
618,2
70,1
103,1
664,2
211,1
475,1
749,2
60,1
524,1
48,1
741,2
484,1
46,1
505,2
818,3
636,2
652,2
833,2
86,1
810,1
306,1
279,1
848,2
803,2
737,2
88,1
789,2
605,2
134,1
37,1
995,2
338,1
270,1
831,2
49,1
385,2
919,2
607,2
98,1
464,1
160,1
298,1
329,1
199,1
55,1
230,1
202,1
732,2
151,1
265,1
204,1
364,2
58,1
371,1
716,2
68,1
209,1
821,2
936,2
62,1
600,2
36,1
117,1
948,2
776,1
490,2
949,2
990,2
992,2
51,1
974,3
697,2
322,1
354,1
938,3
601,2
462,1
285,1
96,1
620,2
734,2
744,2
862,3
8,1
178,1
845,2
314,1
914,3
340,1
430,1
959,2
121,1
628,1
439,2
765,2
241,1
958,2
891,2
675,2
599,2
588,2
637,2
268,1
613,2
852,2
192,1
369,1
190,1
680,2
736,2
691,3
293,1
725,2
551,2
485,1
320,1
436,1
561,2
678,2
223,1
739,2
35,1
478,1
342,1
332,1
61,1
483,1
449,2
723,1
313,1
331,1
113,1
875,2
438,2
242,1
148,1
23,1
924,2
397,1
559,2
571,2
284,1
623,2
816,2
110,1
193,1
522,1
452,1
782,2
715,2
469,1
534,2
474,1
499,1
855,1
155,1
986,3
233,1
93,1
260,1
670,2
492,1
145,1
22,1
10,1
491,2
401,1
864,2
780,3
641,1
256,1
188,1
442,1
987,3
568,1
264,1
154,1
92,1
667,2
179,1
106,1
146,1
100,1
189,1
712,3
157,1
981,2
87,1
195,1
288,1
456,1
603,1
893,3
105,1
805,3
245,1
141,1
771,2
700,2
733,3
156,1
953,3
563,1
804,2
624,1
937,3
565,1
269,1
476,1
808,2
168,1
26,1
710,2
468,1
971,2
593,2
894,3
573,1
547,1
470,1
902,2
97,1
83,1
562,3
662,1
504,1
220,1
656,1
353,1
459,2
976,2
411,1
964,3
325,1
162,1
282,1
709,2
666,1
544,2
5,1
602,1
962,3
584,2
840,3
425,1
443,1
859,2
495,1
249,1
44,1
619,2
119,1
790,3
2,1
758,2
305,1
493,2
59,1
326,1
626,1
454,2
574,2
437,1
884,2
412,1
870,2
638,2
57,1
315,1
540,1
431,1
165,1
421,1
866,2
979,3
382,1
847,1
213,1
611,1
361,1
541,2
350,1
838,3
180,1
21,1
108,1
598,2
283,1
356,2
497,2
395,1
301,1
592,1
557,2
185,1
560,2
721,2
360,1
686,3
888,2
488,1
745,3
851,2
814,2
295,1
770,2
182,1
487,1
536,2
432,1
951,3
25,1
457,2
207,1
435,1
897,3
526,2
685,1
308,2
126,1
